item_id,item_quantitylbs,item_name,item_ppp
1,34,cocoa,20.01
2,40.5,almondbutter,10.88
3,47,almonds,2.88
4,53.5,appleblueberryjuiceblend,30.58
5,60,applejuiceblend,22.015
6,66.5,applepineapplejuiceblend,24.386
7,73,bananas,26.757
8,79.5,blueberries,20.01
9,86,butterpecanicecream,10.88
10,92.5,califiafarmsalmondmilk,21.11
11,99,carrots,15.68066667
12,105.5,cinnamon,14.20095238
13,112,coconutwater,12.7212381
14,118.5,coldbrewcoffee,11.24152381
15,125,dairywheyblend,9.761809524
16,131.5,dates,8.282095238
17,138,dietdownenhancer,6.802380952
18,144.5,electrolyteblend,5.322666667
19,151,energyboostenhancer,3.842952381
20,157.5,espresso,2.363238095
21,164,fiberblendenhancer,0.88352381
22,170.5,fitaid+paleoproteinenhancer,22.015
23,177,ginger,24.386
24,183.5,gladiatorproteinchocolate,26.757
25,190,gladiatorproteinstrawberry,20.01
26,196.5,gladiatorproteinvanilla,10.88
27,203,greeknonfatyogurt,11.63773919
28,209.5,guthealthenhancer,11.40389923
29,216,hulkblend,11.17005926
30,222.5,immunesupportenhancer,10.93621929
31,229,jointhealthenhancerwithcollagen,10.70237932
32,235.5,kale,10.46853936
33,242,ketoproteinblend,10.23469939
34,248.5,kiwiapplejuiceblend,10.00085942
35,255,lean1chocolateprotein,9.767019455
36,261.5,lean1vanillaprotein,9.533179487
37,268,mangoes,9.29933952
38,274.5,matchagreentea,9.065499552
39,281,metabolismboostenhancer,8.831659585
40,287.5,multivitaminenhancer,8.597819617
41,294,musclebuilderenhancer,8.36397965
42,300.5,nonfatmilk,8.130139683
43,307,nutrientblend,7.896299715
44,313.5,oatmilkbycalifiafarms,7.662459748
45,320,orangejuiceblend,7.42861978
46,326.5,papayajuiceblend,7.194779813
47,105.5,peanutbutter,6.960939845
48,112,pearjuiceblend,6.727099878
49,118.5,pearpassionfruitjuiceblend,6.49325991
50,125,pineapples,6.259419943
51,131.5,probioticpowderenhancer,6.025579976
52,138,proteinblend,5.791740008
53,144.5,pumpkin,5.557900041
54,151,purerechargeenhancer,5.324060073
55,157.5,raspberries,5.090220106
56,164,spiceblend,30.58
57,170.5,spinach,22.015
58,177,steviaplantbasedsweetener,24.386
59,183.5,strawberries,26.757
60,190,sunwarriororganicplantbasedprotein,20.01
61,196.5,supergrainsenhancer,10.88
62,203,tartcherries,21.11
63,209.5,turbinado,15.68066667
64,216,vanillafrozenyogurt,14.20095238
65,222.5,wheyprotein,12.7212381
66,229,whitegrapelemonjuiceblend,10.33296939
67,235.5,napkins,8.580688776
68,242,smallcup,6.828408163
69,248.5,mediumcup,5.076127551
70,255,largecup,3.323846939
71,261.5,straws,1.571566327
